"course_section_orig_id","user_id","gradebook_item","final_grade_cems","points_possible","points_earned","gender"
"AnPhA-S116-01",60186,"POINTS EARNED & TOTAL COURSE POINTS",86.272,5,4.05,"F"
"AnPhA-S116-01",60186,"WORK ATTEMPTED",86.272,30,24,"F"
"AnPhA-S116-01",60186,"0.1: Message Your Instructor",86.272,105,71.675,"F"
"AnPhA-S116-01",60186,"0.2: Intro Assignment - Discussion Board",86.272,140,140.97,"F"
"AnPhA-S116-01",60186,"0.3: Intro Assignment - Submitting Files",86.272,5,5,"M"
"AnPhA-S116-01",60186,"1.1: Quiz",86.272,5,4,"F"
"AnPhA-S116-01",60186,"1.2: Quiz",86.272,20,NA,"F"
"AnPhA-S116-01",60186,"1.3: Create a Living Creature",86.272,50,50,"F"
"AnPhA-S116-01",60186,"1.3: Create a Living Creature - Discussion Board",86.272,10,NA,"F"
"AnPhA-S116-01",60186,"1.4: Negative Feedback Loop Flowchart",86.272,50,44,"F"
"AnPhA-S116-01",60186,"1.5: Quiz",86.272,5,4.19,"M"
"AnPhA-S116-01",60186,"Unit 1 Assessment: Pickle Autopsy Lab",86.272,5,5,"F"
"AnPhA-S116-01",60186,"PROGRESS CHECK 1 @ 10-02-15",86.272,24,16,"F"
"AnPhA-S116-01",60186,"2.1: Types of Membranes",86.272,10,9.32,"M"
"AnPhA-S116-01",60186,"2.2 - 2.3: Quiz",86.272,10,9,"F"
"AnPhA-S116-01",60186,"2.4 - 2.5 Quiz",86.272,10,10,"F"
"AnPhA-S116-01",60186,"2.6: Quiz",86.272,5,5,"F"
"AnPhA-S116-01",60186,"Unit 2 Assessment: Test",86.272,443,389,"F"
"AnPhA-S116-01",60186,"3.1: Models of the Integumentary System",86.272,10,10,"F"
"AnPhA-S116-01",60186,"3.2 - 3.3: Quiz",86.272,5,3,"M"
"AnPhA-S116-01",60186,"3.4: Skin Twin - Discussion Board",86.272,5,NA,"F"
"AnPhA-S116-01",60186,"Unit 3 Assessment: UV Exposure Lab",86.272,30,NA,"F"
"AnPhA-S116-01",60186,"PROGRESS CHECK 2 @ 10-28-15",86.272,15,12,"F"
