,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020 U.S. News & World Report — Best National Universities,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 Rank,School,Public/Private,Overall Score,Peer Assessment Score,Graduation and retention rank,Average first year retention rate,Average first year retention rate footnote,Predicted graduation rate,Actual graduation rate,Actual graduation rate footnote,Over/Underperformance,Pell Gradrate,Pell Gradrate footnote,Social Mobility Rank,Faculty resources rank,Percent of classes under 20,Percent of classes of 50 or more students,Student/faculty ratio,Student/faculty ratio footnote,Selectivity rank,SAT/ACT 25th-75th percentile,SAT/ACT 25th-75th percentile footnote,First year students in top 10% of high school class,First year students in top 10% of high school class footnote,Acceptance rate,Financial resources rank,Average alumni giving rate,Average alumni giving rate footnote
1,Princeton University (NJ),private,100,4.9,2,98%,,95%,96%,,1,93%,,186,7,74%,10%,5 to 1,,11,1440-1570,,91%,4,5%,12,59%,
2,Harvard University (MA),private,96,4.9,2,97%,,97%,98%,,1,97%,,186,6,72%,10%,6 to 1,,2,1460-1580,,94%,,5%,8,31%,
3,Columbia University (NY),private,94,4.7,4,99%,,94%,96%,,2,93%,,138,3,82%,9%,6 to 1,,2,1450-1560,,96%,,6%,13,30%,
3,Massachusetts Institute of Technology,private,94,4.9,10,99%,,95%,94%,,-1,92%,,241,9,71%,12%,3 to 1,,2,1500-1570,,97%,,7%,2,33%,
3,Yale University (CT),private,94,4.8,1,99%,,97%,97%,,None,94%,,285,11,73%,9%,6 to 1,,2,1450-1560,,95%,,6%,1,27%,
6,Stanford University (CA),private,93,4.9,10,98%,,94%,94%,,None,93%,,241,13,69%,11%,5 to 1,,7,1420-1570,,96%,,4%,5,30%,
6,University of Chicago,private,93,4.6,10,99%,,98%,94%,,-4,89%,,335,1,79%,6%,5 to 1,,1,33-35,2,99%,,7%,7,40%,
6,University of Pennsylvania,private,93,4.6,4,98%,,98%,95%,,-3,92%,,241,5,71%,8%,6 to 1,,7,1440-1560,,96%,,8%,14,38%,
9,Northwestern University (IL),private,92,4.5,10,98%,,97%,95%,,-2,94%,,251,3,78%,5%,6 to 1,,11,33-35,,92%,,8%,9,31%,
10,Duke University (NC),private,91,4.5,8,98%,,98%,96%,,-2,95%,,254,1,71%,7%,6 to 1,,7,33-35,,95%,,9%,15,32%,
10,Johns Hopkins University (MD),private,91,4.7,18,97%,,97%,94%,,-3,94%,,241,18,74%,9%,7 to 1,,2,33-35,,96%,,11%,3,39%,
12,California Institute of Technology,private,89,4.7,19,98%,,98%,92%,,-6,96%,,345,9,68%,9%,3 to 1,,18,1530-1580,,96%,5,7%,3,27%,
12,Dartmouth College (NH),private,89,4.4,8,97%,,97%,95%,,-2,92%,,303,8,62%,7%,7 to 1,,11,1420-1560,,95%,,9%,16,43%,
14,Brown University (RI),private,86,4.5,4,98%,,96%,95%,,-1,91%,,224,16,70%,10%,6 to 1,,7,1420-1550,,96%,,8%,26,31%,
15,University of Notre Dame (IN),private,84,4.2,4,98%,,98%,97%,,-1,95%,,322,14,62%,10%,10 to 1,,11,33-35,,89%,,18%,27,42%,
15,Vanderbilt University (TN),private,84,4.3,19,97%,,98%,94%,,-4,90%,,291,16,66%,7%,7 to 1,,11,33-35,,89%,,10%,11,26%,
17,Cornell University (NY),private,83,4.6,10,97%,,97%,95%,,-2,92%,,224,26,57%,17%,9 to 1,,18,1390-1540,,83%,,11%,18,26%,
17,Rice University (TX),private,83,4.2,19,97%,,97%,95%,,-2,92%,,204,11,72%,8%,6 to 1,,11,33-35,,87%,,11%,23,30%,
19,Washington University in St. Louis,private,81,4.1,10,97%,,98%,95%,,-3,91%,,381,14,64%,12%,7 to 1,,28,32-35,,80%,5,15%,5,24%,
20,University of California--Los Angeles,public,80,4.3,27,97%,,87%,90%,,3,88%,,13,27,51%,22%,18 to 1,,23,1270-1520,,97%,,14%,20,7%,
21,Emory University (GA),private,79,4.1,30,94%,,91%,90%,,-1,88%,,200,20,60%,13%,9 to 1,,23,1350-1520,,84%,,19%,16,21%,
22,University of California--Berkeley,public,78,4.7,23,97%,,88%,91%,,3,89%,,70,44,53%,19%,20 to 1,,18,1300-1530,,98%,,15%,45,8%,
22,University of Southern California,private,78,3.9,23,96%,,92%,92%,,None,91%,,147,39,59%,13%,9 to 1,,30,1350-1530,,90%,5,13%,22,41%,
24,Georgetown University (DC),private,77,4.2,10,96%,,98%,94%,,-4,94%,,241,39,61%,6%,11 to 1,,18,1370-1530,,89%,,15%,33,31%,
25,Carnegie Mellon University (PA),private,75,4.3,30,97%,,94%,89%,,-5,82%,,303,22,66%,12%,13 to 1,,17,1450-1550,,87%,,17%,38,14%,
25,University of Michigan--Ann Arbor,public,75,4.5,23,97%,,90%,92%,,2,85%,,291,48,57%,18%,15 to 1,,40,1330-1510,,79%,5,23%,40,17%,
27,Wake Forest University (NC),private,74,3.6,33,94%,,96%,89%,,-7,85%,,360,21,57%,1%,10 to 1,,33,29-33,2,76%,,29%,10,24%,
28,University of Virginia,public,73,4.2,10,97%,,98%,94%,,-4,91%,,328,39,55%,15%,15 to 1,,23,1330-1500,,90%,,26%,47,20%,
29,Georgia Institute of Technology,public,72,4.3,40,97%,,89%,87%,,-2,81%,,224,42,45%,14%,21 to 1,,18,1390-1540,,89%,,23%,58,19%,
29,New York University,private,72,4.0,52,93%,,84%,85%,,1,84%,,115,24,61%,9%,9 to 1,,40,1310-1510,2,71%,,20%,28,11%,
29,Tufts University (MA),private,72,3.8,19,97%,,98%,93%,,-5,91%,,328,27,69%,7%,9 to 1,,23,31-34,,78%,,15%,31,22%,
29,U. of North Carolina--Chapel Hill,public,72,4.1,27,97%,,90%,90%,,None,86%,,165,85,38%,12%,13 to 1,,44,27-33,,78%,,22%,33,19%,
29,University of Rochester (NY),private,72,3.5,40,96%,,90%,86%,,-4,81%,,159,19,74%,9%,10 to 1,,33,1320-1500,2,75%,,29%,23,23%,
