school,public_private,overall_score,peer_assessment_score,graduation_and_retention_rank,average_first_year_retention_rate,predicted_graduation_rate,actual_graduation_rate,over_underperformance,pell_gradrate,social_mobility_rank,faculty_resources_rank,percent_of_classes_under_20,percent_of_classes_of_50_or_more_students,student_faculty_ratio,selectivity_rank,sat_act_25th_percentile,sat_act_75th_percentile,first_year_students_in_top_10_percent_of_high_school_class,acceptance_rate,financial_resources_rank,average_alumni_giving_rate
Princeton University (NJ),private,100,4.9,2,98,95,96,1,93,186,7,74,10,5,11,1440,1570,91,5,12,59
Harvard University (MA),private,96,4.9,2,97,97,98,1,97,186,6,72,10,6,2,1460,1580,94,5,8,31
Columbia University (NY),private,94,4.7,4,99,94,96,2,93,138,3,82,9,6,2,1450,1560,96,6,13,30
Massachusetts Institute of Technology,private,94,4.9,10,99,95,94,-1,92,241,9,71,12,3,2,1500,1570,97,7,2,33
Yale University (CT),private,94,4.8,1,99,97,97,NA,94,285,11,73,9,6,2,1450,1560,95,6,1,27
Stanford University (CA),private,93,4.9,10,98,94,94,NA,93,241,13,69,11,5,7,1420,1570,96,4,5,30
University of Chicago,private,93,4.6,10,99,98,94,-4,89,335,1,79,6,5,1,33,35,99,7,7,40
University of Pennsylvania,private,93,4.6,4,98,98,95,-3,92,241,5,71,8,6,7,1440,1560,96,8,14,38
Northwestern University (IL),private,92,4.5,10,98,97,95,-2,94,251,3,78,5,6,11,33,35,92,8,9,31
Duke University (NC),private,91,4.5,8,98,98,96,-2,95,254,1,71,7,6,7,33,35,95,9,15,32
Johns Hopkins University (MD),private,91,4.7,18,97,97,94,-3,94,241,18,74,9,7,2,33,35,96,11,3,39
California Institute of Technology,private,89,4.7,19,98,98,92,-6,96,345,9,68,9,3,18,1530,1580,96,7,3,27
Dartmouth College (NH),private,89,4.4,8,97,97,95,-2,92,303,8,62,7,7,11,1420,1560,95,9,16,43
Brown University (RI),private,86,4.5,4,98,96,95,-1,91,224,16,70,10,6,7,1420,1550,96,8,26,31
University of Notre Dame (IN),private,84,4.2,4,98,98,97,-1,95,322,14,62,10,10,11,33,35,89,18,27,42
Vanderbilt University (TN),private,84,4.3,19,97,98,94,-4,90,291,16,66,7,7,11,33,35,89,10,11,26
Cornell University (NY),private,83,4.6,10,97,97,95,-2,92,224,26,57,17,9,18,1390,1540,83,11,18,26
Rice University (TX),private,83,4.2,19,97,97,95,-2,92,204,11,72,8,6,11,33,35,87,11,23,30
Washington University in St. Louis,private,81,4.1,10,97,98,95,-3,91,381,14,64,12,7,28,32,35,80,15,5,24
University of California--Los Angeles,public,80,4.3,27,97,87,90,3,88,13,27,51,22,18,23,1270,1520,97,14,20,7
Emory University (GA),private,79,4.1,30,94,91,90,-1,88,200,20,60,13,9,23,1350,1520,84,19,16,21
University of California--Berkeley,public,78,4.7,23,97,88,91,3,89,70,44,53,19,20,18,1300,1530,98,15,45,8
University of Southern California,private,78,3.9,23,96,92,92,NA,91,147,39,59,13,9,30,1350,1530,90,13,22,41
Georgetown University (DC),private,77,4.2,10,96,98,94,-4,94,241,39,61,6,11,18,1370,1530,89,15,33,31
Carnegie Mellon University (PA),private,75,4.3,30,97,94,89,-5,82,303,22,66,12,13,17,1450,1550,87,17,38,14
University of Michigan--Ann Arbor,public,75,4.5,23,97,90,92,2,85,291,48,57,18,15,40,1330,1510,79,23,40,17
Wake Forest University (NC),private,74,3.6,33,94,96,89,-7,85,360,21,57,1,10,33,29,33,76,29,10,24
University of Virginia,public,73,4.2,10,97,98,94,-4,91,328,39,55,15,15,23,1330,1500,90,26,47,20
Georgia Institute of Technology,public,72,4.3,40,97,89,87,-2,81,224,42,45,14,21,18,1390,1540,89,23,58,19
New York University,private,72,4,52,93,84,85,1,84,115,24,61,9,9,40,1310,1510,71,20,28,11
Tufts University (MA),private,72,3.8,19,97,98,93,-5,91,328,27,69,7,9,23,31,34,78,15,31,22
U. of North Carolina--Chapel Hill,public,72,4.1,27,97,90,90,NA,86,165,85,38,12,13,44,27,33,78,22,33,19
University of Rochester (NY),private,72,3.5,40,96,90,86,-4,81,159,19,74,9,10,33,1320,1500,75,29,23,23
University of California--Santa Barbara,public,71,3.6,58,93,84,87,3,84,9,22,50,18,17,33,1230,1480,100,32,72,17
University of Florida,public,71,3.8,33,97,82,90,8,87,34,77,50,14,18,47,1280,1440,77,39,47,14
University of California--Irvine,public,70,3.8,46,93,78,83,5,81,3,58,53,23,18,51,1180,1440,99,29,61,7
Boston College,private,69,3.7,23,95,95,92,-3,91,270,42,49,6,11,28,1320,1490,78,28,65,24
University of California--San Diego,public,69,3.9,40,95,85,86,1,84,21,147,43,32,19,30,1250,1470,100,30,23,4
University of California--Davis,public,68,3.9,48,93,84,86,2,84,9,136,36,29,20,51,1150,1410,100,41,31,7
Boston University,private,67,3.7,40,93,85,88,3,88,270,30,62,12,10,40,1330,1500,65,22,49,10
Brandeis University (MA),private,67,3.6,36,93,87,88,1,84,138,48,57,11,10,48,1280,1500,56,31,49,19
Case Western Reserve Univ. (OH),private,67,3.7,58,93,91,85,-6,82,214,34,59,13,11,30,30,34,70,29,40,19
College of William & Mary (VA),public,67,3.8,27,95,95,91,-4,88,354,54,47,6,12,33,1310,1490,77,37,110,30
Northeastern University (MA),private,67,3.5,36,97,86,88,2,88,254,24,67,6,14,27,32,34,77,19,72,11
Tulane University (LA),private,67,3.6,58,93,81,85,4,77,365,27,62,6,8,33,30,33,63,17,33,17
Univ. of Wisconsin--Madison,public,65,4.1,40,95,84,87,3,84,297,147,45,22,17,59,27,32,54,52,61,12
Villanova University (PA),private,65,3.4,30,96,85,91,6,94,214,110,42,2,11,40,1300,1470,72,29,110,29
University of Illinois--Urbana-Champaign,public,64,3.9,48,93,79,84,5,81,186,110,38,20,20,70,26,32,48,62,58,7
University of Texas--Austin,public,64,4.1,58,95,84,83,-1,73,134,182,38,26,19,33,1230,1480,85,39,76,10
Lehigh University (PA),private,63,3.3,36,95,87,87,NA,84,270,44,50,12,9,51,1270,1450,58,22,55,17
Pepperdine University (CA),private,63,3.4,52,91,80,83,3,84,96,36,70,3,14,65,1220,1420,57,36,65,9
Rensselaer Polytechnic Inst. (NY),private,63,3.5,58,93,88,86,-2,80,270,34,52,10,13,44,1330,1500,64,43,69,10
University of Georgia,public,63,3.6,46,95,78,86,8,80,159,69,45,11,17,62,1240,1410,60,49,123,13
Ohio State University--Columbus,public,62,3.8,52,94,77,84,7,76,254,271,27,27,19,57,27,32,63,52,76,15
Santa Clara University (CA),private,62,3.1,33,95,80,91,11,88,315,58,46,1,11,65,1270,1440,49,50,76,19
Syracuse University (NY),private,62,3.4,69,91,74,83,9,80,90,48,57,9,15,95,1180,1370,39,50,83,11
Florida State University,public,61,3.3,73,93,70,83,13,79,80,58,57,12,21,90,1200,1350,39,37,231,19
Pennsylvania State U.--Univ. Park,public,61,3.7,48,93,73,85,12,77,348,256,31,17,14,107,1160,1360,43,56,49,13
Purdue University--West Lafayette (IN),public,61,3.8,88,92,76,81,5,74,270,95,38,20,13,83,1180,1410,46,58,93,18
University of Miami (FL),private,61,3.5,64,92,88,82,-6,78,270,69,50,9,12,51,1250,1430,55,32,28,12
University of Pittsburgh,public,61,3.6,64,93,80,83,3,76,335,120,45,18,14,59,1270,1430,55,59,40,7
Rutgers University--New Brunswick (NJ),public,60,3.4,73,93,68,80,12,78,59,210,42,21,16,90,1190,1410,38,60,65,7
University of Washington,public,60,3.9,52,94,88,84,-4,79,176,346,29,25,19,65,1220,1460,58,49,28,12
Loyola Marymount University (CA),private,59,3.1,73,90,75,84,9,80,241,54,53,1,10,83,1210,1390,44,47,93,20
Southern Methodist University (TX),private,59,3.3,82,91,80,78,-2,67,360,36,59,9,11,59,29,33,49,51,72,18
University of Connecticut,public,59,3.3,58,93,76,85,9,78,265,85,52,16,16,74,1210,1420,50,49,69,9
