state,variable,year,raw
Alabama,PK12ed,1997,3271969
Alaska,PK12ed,1997,1042311
Arizona,PK12ed,1997,3388165
Arkansas,PK12ed,1997,1960613
California,PK12ed,1997,28708364
Colorado,PK12ed,1997,3332994
Connecticut,PK12ed,1997,4014870
Delaware,PK12ed,1997,776825
District of Columbia,PK12ed,1997,544051
Florida,PK12ed,1997,11498394
Georgia,PK12ed,1997,6933391
Hawaii,PK12ed,1997,735256
Idaho,PK12ed,1997,1063605
Illinois,PK12ed,1997,10559474
Indiana,PK12ed,1997,5196692
Iowa,PK12ed,1997,2509352
Kansas,PK12ed,1997,2463463
Kentucky,PK12ed,1997,3002740
Louisiana,PK12ed,1997,3660006
Maine,PK12ed,1997,1338428
Maryland,PK12ed,1997,4922369
Massachusetts,PK12ed,1997,6019704
Michigan,PK12ed,1997,10803966
Minnesota,PK12ed,1997,5207057
Mississippi,PK12ed,1997,1961623
Missouri,PK12ed,1997,4544251
Montana,PK12ed,1997,851762
Nebraska,PK12ed,1997,1569105
Nevada,PK12ed,1997,1379417
New Hampshire,PK12ed,1997,1130228
New Jersey,PK12ed,1997,10777218
New Mexico,PK12ed,1997,1502830
New York,PK12ed,1997,24293108
North Carolina,PK12ed,1997,5818521
North Dakota,PK12ed,1997,524949
Ohio,PK12ed,1997,10213866
Oklahoma,PK12ed,1997,2760518
Oregon,PK12ed,1997,3122900
Pennsylvania,PK12ed,1997,11456526
Rhode Island,PK12ed,1997,1090165
South Carolina,PK12ed,1997,3114033
South Dakota,PK12ed,1997,610507
Tennessee,PK12ed,1997,3880074
Texas,PK12ed,1997,18119762
Utah,PK12ed,1997,1783323
Vermont,PK12ed,1997,625118
Virginia,PK12ed,1997,6188464
Washington,PK12ed,1997,5335341
West Virginia,PK12ed,1997,1740686
Wisconsin,PK12ed,1997,5834077
Wyoming,PK12ed,1997,580453
Alabama,PK12ed,1998,3504764
Alaska,PK12ed,1998,1019614
Arizona,PK12ed,1998,3579363
Arkansas,PK12ed,1998,2127517
California,PK12ed,1998,31776920
Colorado,PK12ed,1998,3684502
Connecticut,PK12ed,1998,3931428
Delaware,PK12ed,1998,815900
District of Columbia,PK12ed,1998,623415
Florida,PK12ed,1998,12141943
Georgia,PK12ed,1998,7478866
Hawaii,PK12ed,1998,784034
Idaho,PK12ed,1998,1122432
Illinois,PK12ed,1998,11852129
Indiana,PK12ed,1998,5611104
Iowa,PK12ed,1998,2814447
Kansas,PK12ed,1998,2579556
Kentucky,PK12ed,1998,3015764
Louisiana,PK12ed,1998,3908656
Maine,PK12ed,1998,1433568
Maryland,PK12ed,1998,5089358
Massachusetts,PK12ed,1998,6646118
Michigan,PK12ed,1998,11701125
Minnesota,PK12ed,1998,5281256
Mississippi,PK12ed,1998,2092869
Missouri,PK12ed,1998,4822621
Montana,PK12ed,1998,879340
Nebraska,PK12ed,1998,1596292
Nevada,PK12ed,1998,1512307
New Hampshire,PK12ed,1998,1198502
New Jersey,PK12ed,1998,11580753
New Mexico,PK12ed,1998,1598625
New York,PK12ed,1998,25662488
North Carolina,PK12ed,1998,6275114
North Dakota,PK12ed,1998,570988
Ohio,PK12ed,1998,10974754
Oklahoma,PK12ed,1998,2952576
Oregon,PK12ed,1998,3386017
Pennsylvania,PK12ed,1998,13130636
Rhode Island,PK12ed,1998,1155096
South Carolina,PK12ed,1998,3340107
South Dakota,PK12ed,1998,628218
Tennessee,PK12ed,1998,4102843
Texas,PK12ed,1998,19577728
Utah,PK12ed,1998,1892836
Vermont,PK12ed,1998,693734
Virginia,PK12ed,1998,6815290
Washington,PK12ed,1998,5711799
West Virginia,PK12ed,1998,1775425
Wisconsin,PK12ed,1998,6146795
Wyoming,PK12ed,1998,592887
Alabama,PK12ed,1999,3784422
Alaska,PK12ed,1999,1097282
Arizona,PK12ed,1999,3849420
Arkansas,PK12ed,1999,2224967
California,PK12ed,1999,33739312
Colorado,PK12ed,1999,3916260
Connecticut,PK12ed,1999,4455325
Delaware,PK12ed,1999,848633
District of Columbia,PK12ed,1999,685988
Florida,PK12ed,1999,12987313
Georgia,PK12ed,1999,8232892
Hawaii,PK12ed,1999,877036
Idaho,PK12ed,1999,1203898
Illinois,PK12ed,1999,12820488
Indiana,PK12ed,1999,5855563
Iowa,PK12ed,1999,2922070
Kansas,PK12ed,1999,2650234
Kentucky,PK12ed,1999,3195456
Louisiana,PK12ed,1999,4128634
Maine,PK12ed,1999,1410980
Maryland,PK12ed,1999,5430954
Massachusetts,PK12ed,1999,7133647
Michigan,PK12ed,1999,12284399
Minnesota,PK12ed,1999,5682586
Mississippi,PK12ed,1999,2202972
Missouri,PK12ed,1999,5128981
Montana,PK12ed,1999,900757
Nebraska,PK12ed,1999,1626461
Nevada,PK12ed,1999,1670592
New Hampshire,PK12ed,1999,1252818
New Jersey,PK12ed,1999,12007767
New Mexico,PK12ed,1999,1732818
New York,PK12ed,1999,27239868
North Carolina,PK12ed,1999,6747065
North Dakota,PK12ed,1999,590791
Ohio,PK12ed,1999,11616958
Oklahoma,PK12ed,1999,3126146
Oregon,PK12ed,1999,3562280
Pennsylvania,PK12ed,1999,13748451
Rhode Island,PK12ed,1999,1222375
South Carolina,PK12ed,1999,3588571
South Dakota,PK12ed,1999,662998
Tennessee,PK12ed,1999,4346648
Texas,PK12ed,1999,20773662
Utah,PK12ed,1999,2007522
Vermont,PK12ed,1999,759777
Virginia,PK12ed,1999,7102959
Washington,PK12ed,1999,5902717
West Virginia,PK12ed,1999,1887862
Wisconsin,PK12ed,1999,6411232
Wyoming,PK12ed,1999,640003
Alabama,PK12ed,2000,4006894
Alaska,PK12ed,2000,1133145
Arizona,PK12ed,2000,4185930
Arkansas,PK12ed,2000,2324123
California,PK12ed,2000,36658880
Colorado,PK12ed,2000,4149462
Connecticut,PK12ed,2000,4713226
Delaware,PK12ed,2000,915317
District of Columbia,PK12ed,2000,815299
Florida,PK12ed,2000,13255884
Georgia,PK12ed,2000,8850297
Hawaii,PK12ed,2000,953130
Idaho,PK12ed,2000,1226979
Illinois,PK12ed,2000,13629593
Indiana,PK12ed,2000,6084174
Iowa,PK12ed,2000,3068753
Kansas,PK12ed,2000,2779333
Kentucky,PK12ed,2000,3328959
Louisiana,PK12ed,2000,4242538
Maine,PK12ed,2000,1495241
Maryland,PK12ed,2000,5684437
Massachusetts,PK12ed,2000,7685285
Michigan,PK12ed,2000,12950110
Minnesota,PK12ed,2000,6046377
Mississippi,PK12ed,2000,2429256
Missouri,PK12ed,2000,5427270
Montana,PK12ed,2000,932721
Nebraska,PK12ed,2000,1719480
Nevada,PK12ed,2000,1797271
New Hampshire,PK12ed,2000,1361347
New Jersey,PK12ed,2000,13302198
New Mexico,PK12ed,2000,1834042
