state,expenditure,year,raw,inf_adj,inf_adj_perchild
Alabama,PK12ed,1997,3271969,4665308.5,3929.448605
Alaska,PK12ed,1997,1042311,1486170,7548.493385
Arizona,PK12ed,1997,3388165,4830985.5,3706.679344
Arkansas,PK12ed,1997,1960613,2795523,3891.274929
California,PK12ed,1997,28708364,40933568,4282.324791
Colorado,PK12ed,1997,3332994,4752320.5,4380.313396
Connecticut,PK12ed,1997,4014870,5724567.5,6697.437286
Delaware,PK12ed,1997,776825,1107629.125,5625.309944
District of Columbia,PK12ed,1997,544051,775730.375,6105.13258
Florida,PK12ed,1997,11498394,16394885,4453.577995
Georgia,PK12ed,1997,6933391,9885915,4609.36594
Hawaii,PK12ed,1997,735256,1048358.313,3231.664181
Idaho,PK12ed,1997,1063605,1516531.875,3991.009951
Illinois,PK12ed,1997,10559474,15056134,4440.081596
Indiana,PK12ed,1997,5196692,7409658,4550.327778
Iowa,PK12ed,1997,2509352,3577937.5,4616.663933
Kansas,PK12ed,1997,2463463,3512507.25,4727.243423
Kentucky,PK12ed,1997,3002740,4281430.5,4037.386417
Louisiana,PK12ed,1997,3660006,5218587.5,3979.902506
Maine,PK12ed,1997,1338428,1908385.875,5921.900749
Maryland,PK12ed,1997,4922369,7018517,5070.79792
Massachusetts,PK12ed,1997,6019704,8583142,5516.70742
Michigan,PK12ed,1997,10803966,15404740,5657.581329
Minnesota,PK12ed,1997,5207057,7424436.5,5569.093227
Mississippi,PK12ed,1997,1961623,2796963,3406.45647
Missouri,PK12ed,1997,4544251,6479380.5,4324.664116
Montana,PK12ed,1997,851762,1214477.375,4923.669815
Nebraska,PK12ed,1997,1569105,2237294.75,4706.665993
Nevada,PK12ed,1997,1379417,1966829.625,4231.916428
New Hampshire,PK12ed,1997,1130228,1611525.75,5062.437534
New Jersey,PK12ed,1997,10777218,15366602,7223.886967
New Mexico,PK12ed,1997,1502830,2142797,3956.544161
New York,PK12ed,1997,24293108,34638116,7048.431873
North Carolina,PK12ed,1997,5818521,8296287.5,4222.504139
North Dakota,PK12ed,1997,524949,748493.9375,4205.683708
Ohio,PK12ed,1997,10213866,14563352,4764.308453
Oklahoma,PK12ed,1997,2760518,3936060.5,4168.169022
Oregon,PK12ed,1997,3122900,4452759.5,5079.017639
Pennsylvania,PK12ed,1997,11456526,16335187,5257.626057
Rhode Island,PK12ed,1997,1090165,1554402.25,6058.276176
South Carolina,PK12ed,1997,3114033,4440116.5,4192.855358
South Dakota,PK12ed,1997,610507,870486.0625,3991.773605
Tennessee,PK12ed,1997,3880074,5532369.5,3851.999998
Texas,PK12ed,1997,18119762,25835904,4341.945648
Utah,PK12ed,1997,1783323,2542735.5,3413.328886
Vermont,PK12ed,1997,625118,891319.0625,5629.537582
Virginia,PK12ed,1997,6188464,8823767,4975.489616
Washington,PK12ed,1997,5335341,7607349.5,4903.529167
West Virginia,PK12ed,1997,1740686,2481942,5570.375443
Wisconsin,PK12ed,1997,5834077,8318467.5,5789.63995
Wyoming,PK12ed,1997,580453,827633.8125,5809.872627
Alabama,highered,1997,956505,1363824.25,1148.707986
Alaska,highered,1997,209433,298618.2188,1516.729355
Arizona,highered,1997,847032,1207733.125,926.659644
Arkansas,highered,1997,457171,651853.25,907.357991
California,highered,1997,6858657,9779356,1023.081541
Colorado,highered,1997,861733,1228694.5,1132.513523
Connecticut,highered,1997,502177,716024.6875,837.7105
Delaware,highered,1997,185114,263943.1875,1340.486765
District of Columbia,highered,1997,56693,80835.21875,636.187196
Florida,highered,1997,2039186,2907555.5,789.821029
Georgia,highered,1997,1317266,1878212.25,875.727534
Hawaii,highered,1997,394349,562279.0625,1733.278632
Idaho,highered,1997,249477,355714.5938,936.123073
Illinois,highered,1997,1856127,2646542.5,780.470192
Indiana,highered,1997,1100773,1569527.5,963.858843
Iowa,highered,1997,792302,1129696.875,1457.664013
Kansas,highered,1997,649445,926005.5,1246.24753
Kentucky,highered,1997,650923,928112.875,875.209928
Louisiana,highered,1997,672364,958684.3125,731.130838
Maine,highered,1997,183020,260957.4688,809.775591
Maryland,highered,1997,979191,1396170.875,1008.717418
Massachusetts,highered,1997,791281,1128241.125,725.162923
Michigan,highered,1997,2143605,3056440.5,1122.515559
Minnesota,highered,1997,945977,1348813,1011.74891
Mississippi,highered,1997,619873,883840.5,1076.440454
Missouri,highered,1997,748441,1067158,712.274849
Montana,highered,1997,159805,227856.5625,923.76405
Nebraska,highered,1997,433210,617688.6875,1299.450636
Nevada,highered,1997,295087,420747.2188,905.298054
New Hampshire,highered,1997,81572,116308.7266,365.371555
New Jersey,highered,1997,1247009,1778036.875,835.86061
New Mexico,highered,1997,639409,911695.75,1683.390617
New York,highered,1997,3144924,4484162.5,912.472069
North Carolina,highered,1997,1909200,2722216,1385.507464
North Dakota,highered,1997,161249,229915.4688,1291.863203
Ohio,highered,1997,1706351,2432985.75,795.935869
Oklahoma,highered,1997,624053,889800.5,942.271829
Oregon,highered,1997,853144,1216447.875,1387.535095
Pennsylvania,highered,1997,1501778,2141297,689.195633
Rhode Island,highered,1997,144832,206507.4375,804.861903
South Carolina,highered,1997,730685,1041840.813,983.822823
South Dakota,highered,1997,102145,145642.5625,667.8707
Tennessee,highered,1997,981462,1399409,974.360704
Texas,highered,1997,3940232,5618145.5,944.177568
Utah,highered,1997,618681,882140.875,1184.172273
Vermont,highered,1997,65017,92703.92188,585.514486
Virginia,highered,1997,1129761,1610859.875,908.321381
Washington,highered,1997,1250693,1783289.625,1149.469018
West Virginia,highered,1997,336400,479653,1076.514721
Wisconsin,highered,1997,1262037,1799464.375,1252.42424
Wyoming,highered,1997,163915,233716.7656,1640.658736
Alabama,edsubs,1997,107733,153610.1563,129.381195
Alaska,edsubs,1997,5550,7913.418945,40.193509
Arizona,edsubs,1997,111735,159316.375,122.238971
Arkansas,edsubs,1997,62447,89039.50781,123.940028
California,edsubs,1997,1121672,1599326.25,167.315841
Colorado,edsubs,1997,84129,119954.6016,110.564679
Connecticut,edsubs,1997,71053,101310.2969,118.527621
Delaware,edsubs,1997,31284,44606.01953,226.540342
District of Columbia,edsubs,1997,0,0,0
Florida,edsubs,1997,391935,558837.0625,151.804924
Georgia,edsubs,1997,377853,538758.375,251.199275
Hawaii,edsubs,1997,4877,6953.827637,21.435834
Idaho,edsubs,1997,17880,25494.04102,67.091875
Illinois,edsubs,1997,521985,744267.75,219.485924
Indiana,edsubs,1997,205275,292689.5625,179.742903
Iowa,edsubs,1997,146827,209352,270.129859
Kansas,edsubs,1997,59289,84536.70313,113.772169
Kentucky,edsubs,1997,117354,167328.1719,157.790378
Louisiana,edsubs,1997,93231,132932.6094,101.3797
Maine,edsubs,1997,27188,38765.77344,120.293841
Maryland,edsubs,1997,178775,254904.7656,184.165776
Massachusetts,edsubs,1997,152141,216928.9219,139.428362
Michigan,edsubs,1997,318001,453418.9375,166.523725
Minnesota,edsubs,1997,214559,305927.0625,229.476854
Mississippi,edsubs,1997,82303,117351.0156,142.923281
Missouri,edsubs,1997,138909,198062.1875,132.19665
Montana,edsubs,1997,26648,37995.81641,154.040635
Nebraska,edsubs,1997,32705,46632.13672,98.101459
Nevada,edsubs,1997,15953,22746.44531,48.942242
New Hampshire,edsubs,1997,37541,53527.50781,168.151006
New Jersey,edsubs,1997,281949,402014.5,188.988253
