state,expenditure,year,raw,inf_adj,inf_adj_perchild
Alabama,PK12ed,1997,3271969,4665308.5,3.92944860458374
Alaska,PK12ed,1997,1042311,1486170,7.54849338531494
Arizona,PK12ed,1997,3388165,4830985.5,3.70667934417725
Arkansas,PK12ed,1997,1960613,2795523,3.89127492904663
California,PK12ed,1997,28708364,40933568,4.28232479095459
Colorado,PK12ed,1997,3332994,4752320.5,4.38031339645386
Connecticut,PK12ed,1997,4014870,5724567.5,6.69743728637695
Delaware,PK12ed,1997,776825,1107629.125,5.62530994415283
District of Columbia,PK12ed,1997,544051,775730.375,6.10513257980347
Florida,PK12ed,1997,11498394,16394885,4.45357799530029
Georgia,PK12ed,1997,6933391,9885915,4.60936594009399
Hawaii,PK12ed,1997,735256,1048358.3125,3.23166418075562
Idaho,PK12ed,1997,1063605,1516531.875,3.99100995063782
Illinois,PK12ed,1997,10559474,15056134,4.44008159637451
Indiana,PK12ed,1997,5196692,7409658,4.55032777786255
Iowa,PK12ed,1997,2509352,3577937.5,4.61666393280029
Kansas,PK12ed,1997,2463463,3512507.25,4.72724342346191
Kentucky,PK12ed,1997,3002740,4281430.5,4.03738641738892
Louisiana,PK12ed,1997,3660006,5218587.5,3.97990250587463
Maine,PK12ed,1997,1338428,1908385.875,5.92190074920654
Maryland,PK12ed,1997,4922369,7018517,5.07079792022705
Massachusetts,PK12ed,1997,6019704,8583142,5.51670742034912
Michigan,PK12ed,1997,10803966,15404740,5.6575813293457
Minnesota,PK12ed,1997,5207057,7424436.5,5.56909322738647
Mississippi,PK12ed,1997,1961623,2796963,3.4064564704895
Missouri,PK12ed,1997,4544251,6479380.5,4.32466411590576
Montana,PK12ed,1997,851762,1214477.375,4.92366981506348
Nebraska,PK12ed,1997,1569105,2237294.75,4.70666599273682
Nevada,PK12ed,1997,1379417,1966829.625,4.2319164276123
New Hampshire,PK12ed,1997,1130228,1611525.75,5.06243753433228
New Jersey,PK12ed,1997,10777218,15366602,7.22388696670532
New Mexico,PK12ed,1997,1502830,2142797,3.9565441608429
New York,PK12ed,1997,24293108,34638116,7.04843187332153
North Carolina,PK12ed,1997,5818521,8296287.5,4.22250413894653
North Dakota,PK12ed,1997,524949,748493.9375,4.20568370819092
Ohio,PK12ed,1997,10213866,14563352,4.7643084526062
Oklahoma,PK12ed,1997,2760518,3936060.5,4.16816902160645
Oregon,PK12ed,1997,3122900,4452759.5,5.07901763916016
Pennsylvania,PK12ed,1997,11456526,16335187,5.25762605667114
Rhode Island,PK12ed,1997,1090165,1554402.25,6.05827617645264
South Carolina,PK12ed,1997,3114033,4440116.5,4.19285535812378
South Dakota,PK12ed,1997,610507,870486.0625,3.99177360534668
Tennessee,PK12ed,1997,3880074,5532369.5,3.85199999809265
Texas,PK12ed,1997,18119762,25835904,4.34194564819336
Utah,PK12ed,1997,1783323,2542735.5,3.4133288860321
Vermont,PK12ed,1997,625118,891319.0625,5.62953758239746
Virginia,PK12ed,1997,6188464,8823767,4.97548961639404
Washington,PK12ed,1997,5335341,7607349.5,4.90352916717529
West Virginia,PK12ed,1997,1740686,2481942,5.57037544250488
Wisconsin,PK12ed,1997,5834077,8318467.5,5.78963994979858
Wyoming,PK12ed,1997,580453,827633.8125,5.8098726272583
Alabama,highered,1997,956505,1363824.25,1.14870798587799
Alaska,highered,1997,209433,298618.21875,1.5167293548584
Arizona,highered,1997,847032,1207733.125,0.926659643650055
Arkansas,highered,1997,457171,651853.25,0.90735799074173
California,highered,1997,6858657,9779356,1.0230815410614
Colorado,highered,1997,861733,1228694.5,1.13251352310181
Connecticut,highered,1997,502177,716024.6875,0.837710499763489
Delaware,highered,1997,185114,263943.1875,1.34048676490784
District of Columbia,highered,1997,56693,80835.21875,0.636187195777893
Florida,highered,1997,2039186,2907555.5,0.789821028709412
Georgia,highered,1997,1317266,1878212.25,0.875727534294128
Hawaii,highered,1997,394349,562279.0625,1.733278632164
Idaho,highered,1997,249477,355714.59375,0.936123073101044
Illinois,highered,1997,1856127,2646542.5,0.780470192432404
Indiana,highered,1997,1100773,1569527.5,0.963858842849731
Iowa,highered,1997,792302,1129696.875,1.45766401290894
Kansas,highered,1997,649445,926005.5,1.24624752998352
Kentucky,highered,1997,650923,928112.875,0.875209927558899
Louisiana,highered,1997,672364,958684.3125,0.731130838394165
Maine,highered,1997,183020,260957.46875,0.809775590896606
Maryland,highered,1997,979191,1396170.875,1.00871741771698
Massachusetts,highered,1997,791281,1128241.125,0.725162923336029
Michigan,highered,1997,2143605,3056440.5,1.12251555919647
Minnesota,highered,1997,945977,1348813,1.01174890995026
Mississippi,highered,1997,619873,883840.5,1.07644045352936
Missouri,highered,1997,748441,1067158,0.712274849414825
Montana,highered,1997,159805,227856.5625,0.923764050006866
Nebraska,highered,1997,433210,617688.6875,1.29945063591003
Nevada,highered,1997,295087,420747.21875,0.905298054218292
New Hampshire,highered,1997,81572,116308.7265625,0.365371555089951
New Jersey,highered,1997,1247009,1778036.875,0.83586061000824
New Mexico,highered,1997,639409,911695.75,1.68339061737061
New York,highered,1997,3144924,4484162.5,0.912472069263458
North Carolina,highered,1997,1909200,2722216,1.38550746440887
North Dakota,highered,1997,161249,229915.46875,1.29186320304871
Ohio,highered,1997,1706351,2432985.75,0.795935869216919
Oklahoma,highered,1997,624053,889800.5,0.942271828651428
Oregon,highered,1997,853144,1216447.875,1.38753509521484
Pennsylvania,highered,1997,1501778,2141297,0.68919563293457
Rhode Island,highered,1997,144832,206507.4375,0.804861903190613
South Carolina,highered,1997,730685,1041840.8125,0.983822822570801
South Dakota,highered,1997,102145,145642.5625,0.667870700359344
Tennessee,highered,1997,981462,1399409,0.974360704421997
Texas,highered,1997,3940232,5618145.5,0.944177567958832
Utah,highered,1997,618681,882140.875,1.18417227268219
Vermont,highered,1997,65017,92703.921875,0.585514485836029
Virginia,highered,1997,1129761,1610859.875,0.908321380615234
Washington,highered,1997,1250693,1783289.625,1.14946901798248
West Virginia,highered,1997,336400,479653,1.07651472091675
Wisconsin,highered,1997,1262037,1799464.375,1.2524242401123
Wyoming,highered,1997,163915,233716.765625,1.64065873622894
Alabama,edsubs,1997,107733,153610.15625,0.129381194710732
Alaska,edsubs,1997,5550,7913.4189453125,0.0401935093104839
Arizona,edsubs,1997,111735,159316.375,0.122238971292973
Arkansas,edsubs,1997,62447,89039.5078125,0.123940028250217
California,edsubs,1997,1121672,1599326.25,0.16731584072113
Colorado,edsubs,1997,84129,119954.6015625,0.110564678907394
Connecticut,edsubs,1997,71053,101310.296875,0.118527621030807
Delaware,edsubs,1997,31284,44606.01953125,0.226540341973305
District of Columbia,edsubs,1997,0,0,0
Florida,edsubs,1997,391935,558837.0625,0.15180492401123
Georgia,edsubs,1997,377853,538758.375,0.251199275255203
Hawaii,edsubs,1997,4877,6953.82763671875,0.021435834467411
Idaho,edsubs,1997,17880,25494.041015625,0.0670918747782707
Illinois,edsubs,1997,521985,744267.75,0.219485923647881
Indiana,edsubs,1997,205275,292689.5625,0.179742902517319
Iowa,edsubs,1997,146827,209352,0.270129859447479
Kansas,edsubs,1997,59289,84536.703125,0.113772168755531
Kentucky,edsubs,1997,117354,167328.171875,0.157790377736092
Louisiana,edsubs,1997,93231,132932.609375,0.101379700005054
Maine,edsubs,1997,27188,38765.7734375,0.120293840765953
Maryland,edsubs,1997,178775,254904.765625,0.184165775775909
Massachusetts,edsubs,1997,152141,216928.921875,0.139428362250328
Michigan,edsubs,1997,318001,453418.9375,0.166523724794388
Minnesota,edsubs,1997,214559,305927.0625,0.229476854205132
Mississippi,edsubs,1997,82303,117351.015625,0.142923280596733
Missouri,edsubs,1997,138909,198062.1875,0.132196649909019
Montana,edsubs,1997,26648,37995.81640625,0.154040634632111
Nebraska,edsubs,1997,32705,46632.13671875,0.0981014594435692
Nevada,edsubs,1997,15953,22746.4453125,0.0489422418177128
New Hampshire,edsubs,1997,37541,53527.5078125,0.168151006102562
New Jersey,edsubs,1997,281949,402014.5,0.188988253474236
New Mexico,edsubs,1997,42760,60968.97265625,0.112575493752956
New York,edsubs,1997,906287,1292221.375,0.262951195240021
North Carolina,edsubs,1997,182830,260686.5625,0.132679834961891
North Dakota,edsubs,1997,14404,20537.818359375,0.115399152040482
Ohio,edsubs,1997,553903,789777.75,0.258370786905289
Oklahoma,edsubs,1997,77460,110445.6640625,0.116958618164062
Oregon,edsubs,1997,78627,112109.6171875,0.12787726521492
Pennsylvania,edsubs,1997,495768,706886.4375,0.22751772403717
Rhode Island,edsubs,1997,32110,45783.76171875,0.178442016243935
South Carolina,edsubs,1997,96681,137851.765625,0.130175083875656
South Dakota,edsubs,1997,6887,9819.7685546875,0.0450303517282009
Tennessee,edsubs,1997,84210,120070.09375,0.0836007073521614
Texas,edsubs,1997,338872,483177.6875,0.0812021568417549
Utah,edsubs,1997,42806,61034.5625,0.081931859254837
Vermont,edsubs,1997,36852,52545.1015625,0.331872880458832
Virginia,edsubs,1997,214773,306232.21875,0.172676280140877
Washington,edsubs,1997,260298,371143.625,0.239230960607529
West Virginia,edsubs,1997,38718,55205.72265625,0.123901605606079
Wisconsin,edsubs,1997,175386,250072.59375,0.174050107598305
Wyoming,edsubs,1997,19453,27736.890625,0.194709062576294
Alabama,edservs,1997,246057,350838.21875,0.295500427484512
Alaska,edservs,1997,52355,74649.921875,0.379158794879913
Arizona,edservs,1997,170281,242793.671875,0.186288759112358
Arkansas,edservs,1997,189808,270636.0625,0.376716375350952
California,edservs,1997,943805,1345716.125,0.140784040093422
Colorado,edservs,1997,77419,110387.203125,0.101746201515198
Connecticut,edservs,1997,138932,198094.984375,0.231760516762733
Delaware,edservs,1997,81880,116747.8828125,0.592926800251007
District of Columbia,edservs,1997,0,0,0
Florida,edservs,1997,269777,384659.1875,0.104490496218204
Georgia,edservs,1997,367228,523608.84375,0.244135707616806
Hawaii,edservs,1997,11592,16528.3515625,0.050950214266777
Idaho,edservs,1997,41141,58660.53515625,0.154375106096268
Illinois,edservs,1997,426879,608661.6875,0.179495438933372
Indiana,edservs,1997,162305,231421.171875,0.142117515206337
Iowa,edservs,1997,103997,148283.21875,0.191331952810287
Kansas,edservs,1997,81016,115515.953125,0.155465021729469
Kentucky,edservs,1997,235765,336163.46875,0.317001968622208
Louisiana,edservs,1997,213250,304060.65625,0.231888756155968
Maine,edservs,1997,65699,93676.34375,0.290686517953873
Maryland,edservs,1997,181476,258755.96875,0.186948224902153
Massachusetts,edservs,1997,347996,496187.0625,0.31891804933548
Michigan,edservs,1997,188167,268296.28125,0.0985351279377937
Minnesota,edservs,1997,149708,213459.84375,0.160116896033287
Mississippi,edservs,1997,104690,149271.328125,0.181799426674843
Missouri,edservs,1997,166343,237178.71875,0.158304989337921
Montana,edservs,1997,54581,77823.84375,0.31550931930542
Nebraska,edservs,1997,50470,71962.2109375,0.151389122009277
Nevada,edservs,1997,30146,42983.41015625,0.0924849733710289
New Hampshire,edservs,1997,14867,21197.982421875,0.0665912181138992
New Jersey,edservs,1997,103264,147238.078125,0.0692170783877373
New Mexico,edservs,1997,41443,59091.140625,0.109108187258244
New York,edservs,1997,337101,480652.5,0.0978068932890892
North Carolina,edservs,1997,230018,327969.15625,0.166924193501472
North Dakota,edservs,1997,38488,54877.77734375,0.308350622653961
Ohio,edservs,1997,219720,313285.84375,0.102489478886127
Oklahoma,edservs,1997,82564,117723.15625,0.124665267765522
Oregon,edservs,1997,117899,168105.265625,0.191748425364494
Pennsylvania,edservs,1997,757693,1080349.875,0.347720295190811
